     71,    0.11530924E+01   0.73267012E-01   0.40941683E-06   0.18244671E+00   0.48862327E-01  -0.73274824E-01  -0.43219198E-06   0.18169546E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     72,    0.11528692E+01   0.72659061E-01   0.42204928E-06   0.18561706E+00   0.48459586E-01  -0.72689417E-01  -0.44536691E-06   0.17560243E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     73,    0.11526882E+01   0.74946895E-01   0.43486347E-06   0.18891492E+00   0.48066800E-01  -0.74977764E-01  -0.45875633E-06   0.16962483E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     74,    0.11527127E+01   0.77339058E-01   0.44784098E-06   0.19234706E+00   0.47683590E-01  -0.77370425E-01  -0.47233073E-06   0.16375833E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     75,    0.11526772E+01   0.79812052E-01   0.46102541E-06   0.19592068E+00   0.47309593E-01  -0.79843933E-01  -0.48612475E-06   0.15799883E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     76,    0.11525832E+01   0.82402828E-01   0.47447752E-06   0.19964349E+00   0.46944464E-01  -0.82435208E-01  -0.50012798E-06   0.15234245E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     77,    0.11524322E+01   0.85087084E-01   0.48841286E-06   0.20352373E+00   0.46587877E-01  -0.85119977E-01  -0.51432512E-06   0.14678552E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     78,    0.11522257E+01   0.87901379E-01   0.50258789E-06   0.20757020E+00   0.46239519E-01  -0.87934771E-01  -0.52877138E-06   0.14132454E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     79,    0.11521859E+01   0.90827860E-01   0.51696230E-06   0.21179232E+00   0.45899093E-01  -0.90861761E-01  -0.54342505E-06   0.13595619E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     80,    0.11522022E+01   0.93894723E-01   0.53154429E-06   0.21620017E+00   0.45566316E-01  -0.93929124E-01  -0.55829541E-06   0.13067733E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     81,    0.11521685E+01   0.97100390E-01   0.54637690E-06   0.22080456E+00   0.45240917E-01  -0.97135296E-01  -0.57343008E-06   0.12548497E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     82,    0.11520858E+01   0.10045390E+00   0.56141831E-06   0.22561704E+00   0.44922640E-01  -0.10048930E+00  -0.58878341E-06   0.12037626E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     83,    0.11519554E+01   0.10398318E+00   0.57668967E-06   0.23065000E+00   0.44611236E-01  -0.10401908E+00  -0.60438745E-06   0.11534850E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     84,    0.11517785E+01   0.10766356E+00   0.59222446E-06   0.23591668E+00   0.44306472E-01  -0.10769997E+00  -0.62026541E-06   0.11039913E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
